gname,target,Number_of_Cases
Rohingya Solidarity Organization,Military,1
Rohingya Solidarity Organization,Police,1
Rohingya extremists,Business,1
Rohingya extremists,Educational Institution,2
Rohingya extremists,Government (General),2
Rohingya extremists,Military,2
Rohingya extremists,Police,2
Rohingya extremists,Private Citizens & Property,11
Roque Dalton Commando,Government (Diplomatic),1
Rote Zora,Business,1
Rote Zora,Private Citizens & Property,1
Rubicon (Rouvikonas),Business,3
Rubicon (Rouvikonas),Government (General),2
Rubicon (Rouvikonas),Journalists & Media,1
Rugovasit Group,Journalists & Media,2
Ruminahui Front,Government (Diplomatic),1
Runda Kumpulan Kecil (RKK),Business,26
Runda Kumpulan Kecil (RKK),Educational Institution,3
Runda Kumpulan Kecil (RKK),Government (General),4
Runda Kumpulan Kecil (RKK),Military,22
Runda Kumpulan Kecil (RKK),Police,25
Runda Kumpulan Kecil (RKK),Private Citizens & Property,35
Runda Kumpulan Kecil (RKK),Transportation,6
Runda Kumpulan Kecil (RKK),Unknown,10
Runda Kumpulan Kecil (RKK),Utilities,19
Russian Militia,Police,1
Russian Unity,Journalists & Media,1
Russian separatists,Government (General),1
Russian separatists,Police,1
Rwanda Patriotic Front (RPF),Business,2
Rwanda Patriotic Front (RPF),Government (Diplomatic),1
Rwanda Patriotic Front (RPF),Government (General),1
Rwanda Patriotic Front (RPF),Military,1
Rwanda Patriotic Front (RPF),Private Citizens & Property,2
Rwanda Patriotic Front (RPF),Religious Figures/Institutions,2
Rwanda Patriotic Front (RPF),Transportation,2
Rwenzururu Rebels,Military,1
Rwenzururu Rebels,Private Citizens & Property,1
S. O. S. France,Private Citizens & Property,1
SFT,Government (General),1
SKIF Detachment,Government (Diplomatic),1
SYS,Private Citizens & Property,1
SYS,Religious Figures/Institutions,1
Sa'ad Militia,Police,1
Sabaot Land Defense Force (SLDF),Business,1
Sabaot Land Defense Force (SLDF),Private Citizens & Property,4
Sabaot Land Defense Force (SLDF),Religious Figures/Institutions,1
Sabaot Tribe,Private Citizens & Property,1
Sabaot tribesmen,Private Citizens & Property,1
Saffron Tigers,Government (General),1
Sagrado Corazon Fanatic Group,Private Citizens & Property,1
Saharan Revolutionary Armed Front (FARS),Military,1
Saharan Revolutionary Armed Front (FARS),Private Citizens & Property,2
Saif-ul-Muslimeen,Military,1
Salafi Abu-Bakr al-Siddiq Army,Government (General),1
Salafi Abu-Bakr al-Siddiq Army,Private Citizens & Property,1
Salafi Daawa Group,Private Citizens & Property,1
Salafi Extremists,Unknown,1
Salafia Jihadia,Business,4
Salafia Jihadia,Private Citizens & Property,1
Salafist Group for Preaching and Fighting (GSPC),Business,10
Salafist Group for Preaching and Fighting (GSPC),Government (General),13
Salafist Group for Preaching and Fighting (GSPC),Military,63
Salafist Group for Preaching and Fighting (GSPC),Police,52
Salafist Group for Preaching and Fighting (GSPC),Private Citizens & Property,47
Salafist Group for Preaching and Fighting (GSPC),Terrorists/Non-State Militia,7
Salafist Group for Preaching and Fighting (GSPC),Tourists,7
Salafist Group for Preaching and Fighting (GSPC),Transportation,5
Salafist Group for Preaching and Fighting (GSPC),Unknown,4
Salafist Group for Preaching and Fighting (GSPC),Utilities,6
Salah al-Din Squad,Journalists & Media,1
Salvadoran Guerrillas,Private Citizens & Property,1
Salvadoran Guerrillas,Utilities,1
Sammilito Sangskritik Jote (Alliance of Cultural Forums),Private Citizens & Property,1
Samyukta Janatantrik Terai Mukti Morcha (SJTMM),Business,1
Samyukta Janatantrik Terai Mukti Morcha (SJTMM),Government (General),3
Samyukta Janatantrik Terai Mukti Morcha (SJTMM),Transportation,1
Samyukta Jatiya Mukti Morcha (SJMM),Business,3
Samyukta Jatiya Mukti Morcha (SJMM),Government (General),5
Samyukta Jatiya Mukti Morcha (SJMM),Military,1
Samyukta Jatiya Mukti Morcha (SJMM),Private Citizens & Property,1
Samyukta Jatiya Mukti Morcha (SJMM),Telecommunication,1
Samyukta Jatiya Mukti Morcha (SJMM),Violent Political Party,1
Samyukta Terai Madhes Mukti Party,Business,1
Sanaa Province of the Islamic State,Journalists & Media,1
Sanaa Province of the Islamic State,Police,1
Sanaa Province of the Islamic State,Religious Figures/Institutions,20
Sanaa Province of the Islamic State,Terrorists/Non-State Militia,1
Sanaa Province of the Islamic State,Unknown,2
Sanaa Province of the Islamic State,Violent Political Party,5
Sanatan Sanstha,Private Citizens & Property,2
Sandinist People's Army (EPS),Business,1
Sandinist People's Army (EPS),Private Citizens & Property,3
Sandinista National Liberation Front (FSLN),Airports & Aircraft,1
Sandinista National Liberation Front (FSLN),Business,70
Sandinista National Liberation Front (FSLN),Government (Diplomatic),3
Sandinista National Liberation Front (FSLN),Government (General),31
Sandinista National Liberation Front (FSLN),Journalists & Media,13
Sandinista National Liberation Front (FSLN),Military,50
Sandinista National Liberation Front (FSLN),Police,10
Sandinista National Liberation Front (FSLN),Private Citizens & Property,28
Sandinista National Liberation Front (FSLN),Religious Figures/Institutions,1
Sandinista National Liberation Front (FSLN),Terrorists/Non-State Militia,1
Sandinista National Liberation Front (FSLN),Transportation,1
Sandinista Protester,Government (General),1
Sandinistas,Business,2
Sandinistas,Government (Diplomatic),1
Sandinistas,Government (General),6
Sandinistas,Journalists & Media,3
Sandinistas,Military,1
Sandinistas,Police,1
Sandinistas,Private Citizens & Property,4
Sandinistas,Terrorists/Non-State Militia,1
Sandval (union) Movement,Police,1
Sanghiya Limbuwan Committee (SLC),Government (General),1
Sanidila Secessionist Movement,Transportation,2
Saor Eire (Irish Republican Group),Business,1
Saor Eire (Irish Republican Group),Private Citizens & Property,1
Saraya Waad Allah,Police,3
Saraya al-Mukhtar,Police,1
Sardinian Autonomy Movement,Journalists & Media,1
Sasna Tsrer,Police,1
Saudi Hezbollah,Military,1
Save Kashmir Movement,Government (General),2
Save Kashmir Movement,Private Citizens & Property,1
Save Our Israel Land,Business,2
Save Our Israel Land,Government (Diplomatic),1
Save Uganda Movement,Business,1
Save Uganda Movement,Transportation,1
Save Uganda Movement,Utilities,1
Sayfullakh,Police,1
Scheutzen group,Unknown,1
Schiedam Youth Front,Business,1
Scooter Borne terrorists,Private Citizens & Property,2
Scottish National Liberation Army,Airports & Aircraft,1
Scottish National Liberation Army,Government (General),5
Scottish National Liberation Army,Military,1
Scottish Nationalists,Government (General),1
Scottish Socialist Republican League,Military,1
Scottish Socialist Republican League,Unknown,1
Sea Shepherd Conservation Society,Private Citizens & Property,1
Seaborne Moslem Raiders,Maritime,1
Seattle Liberation Front,Business,1
Secessionists,Journalists & Media,1
Secessionists,Military,2
Secessionists,Police,4
Secret Anti-Communist Army (ESA),Business,1
Secret Anti-Communist Army (ESA),Educational Institution,11
Secret Anti-Communist Army (ESA),Government (General),2
Secret Anti-Communist Army (ESA),Journalists & Media,2
Secret Anti-Communist Army (ESA),NGO,1
Secret Anti-Communist Army (ESA),Private Citizens & Property,1
Secret Anti-Communist Army (ESA),Religious Figures/Institutions,1
Secret Army Organization,Business,1
Secret Army Organization,Private Citizens & Property,1
Secret Cuban Government,Business,5
Secret Cuban Government,Private Citizens & Property,3
Secret Organization Zero,Government (General),1
Secret Organization Zero,Private Citizens & Property,1
Sect of Revolutionaries (Greece),Journalists & Media,2
Sect of Revolutionaries (Greece),Police,1
Seiji Kesha Kokuyukai,Government (General),1
Seikijuku,Government (General),2
Seikijuku,Journalists & Media,1
Sekihotai,Business,1
Sekihotai,Private Citizens & Property,1
Seleka,Government (Diplomatic),1
Seleka,Government (General),3
Seleka,Military,3
Seleka,NGO,1
Seleka,Private Citizens & Property,22
Seleka,Religious Figures/Institutions,4
Self Defense Forces,Terrorists/Non-State Militia,1
Self-Defense Against All Authority,Business,1
Self-Defense Group of Imghad Tuaregs and Allies (GATIA),NGO,1
Self-Defense Group of Imghad Tuaregs and Allies (GATIA),Private Citizens & Property,1
Self-Defense Group of Imghad Tuaregs and Allies (GATIA),Terrorists/Non-State Militia,1
"Senki (""Battle Flag"")",Airports & Aircraft,1
"Senki (""Battle Flag"")",Business,1
"Senki (""Battle Flag"")",Government (Diplomatic),1
"Senki (""Battle Flag"")",Government (General),1
"Senki (""Battle Flag"")",Military,3
"Senki (""Battle Flag"")",Private Citizens & Property,1
Separatist Arab Guerrillas,Private Citizens & Property,1
Separatist Clandestine Organization,Police,1
Separatists,Business,84
Separatists,Educational Institution,14
Separatists,Food or Water Supply,1
Separatists,Government (Diplomatic),3
Separatists,Government (General),107
Separatists,Journalists & Media,1
Separatists,Maritime,2
Separatists,Military,101
Separatists,Other,2
Separatists,Police,111
Separatists,Private Citizens & Property,102
Separatists,Religious Figures/Institutions,6
Separatists,Telecommunication,1
Separatists,Terrorists/Non-State Militia,5
Separatists,Transportation,9
Separatists,Unknown,19
Separatists,Utilities,18
Separatists,Violent Political Party,3
September 11,Government (Diplomatic),3
September 11,Private Citizens & Property,1
September 11 Commandos,Journalists & Media,1
September 11 Commandos,Military,1
September 11 Commandos,Private Citizens & Property,1
September 17 Organization,Government (Diplomatic),1
Serb Radical Party,Private Citizens & Property,1
Serb demonstrators,Government (Diplomatic),1
Serbian Gangsters,Religious Figures/Institutions,1
Serbian Nationalists,Airports & Aircraft,1
Serbian Nationalists,Police,3
Serbian extremists,Military,1
Serbian extremists,Police,7
Serbian extremists,Private Citizens & Property,1
Serbian guerrillas,Business,2
Serbian guerrillas,Government (Diplomatic),4
Serbian guerrillas,Journalists & Media,1
Serbian guerrillas,Military,1
Serbian guerrillas,Police,1
Serbian guerrillas,Private Citizens & Property,5
Serbian guerrillas,Religious Figures/Institutions,1
Serbian guerrillas,Transportation,2
Serbian irregulars,Government (Diplomatic),2
Serbian rebels,Police,2
Serbs,Government (Diplomatic),3
Serbs,Private Citizens & Property,1
Servants of Islam Organization,Military,1
Ses'khona Peoples' Rights Movement,Government (General),1
Settlers at Kfar Darom,Government (Diplomatic),2
Settlers at Kfar Darom,Private Citizens & Property,1
Shabelle Valley militia,Private Citizens & Property,2
Shabwah Province of the Islamic State,Military,1
Shahid Khalsa Force,Unknown,2
Shahin (Falcon),Government (Diplomatic),1
Sham 'unite,Violent Political Party,1
Shamil Group,Educational Institution,1
Shamiya Front,Military,2
Shamiya Front,Private Citizens & Property,6
Shamiya Front,Telecommunication,1
Shan Insurgents,Private Citizens & Property,3
Shan State Army - North (SSA-N),Military,1
Shan State Army - North (SSA-N),Police,1
Shan State Army - North (SSA-N),Private Citizens & Property,1
Shan State Army - North (SSA-N),Religious Figures/Institutions,1
Shan State Army - South (SSA-S),Business,2
Shan State Army - South (SSA-S),Private Citizens & Property,1
Shan State Progressive Party,Government (General),1
Shan State Progressive Party,Military,10
Shan United Revolutionary Army,Business,2
Shan United Revolutionary Army,Police,1
Shan United Revolutionary Army,Private Citizens & Property,1
Shan United Revolutionary Army,Utilities,1
Shangytown residents,Educational Institution,1
Shanti Bahini - Peace Force,Business,3
Shanti Bahini - Peace Force,Government (Diplomatic),1
Shanti Bahini - Peace Force,Government (General),6
Shanti Bahini - Peace Force,Journalists & Media,1
Shanti Bahini - Peace Force,Maritime,9
Shanti Bahini - Peace Force,Military,13
Shanti Bahini - Peace Force,Police,8
Shanti Bahini - Peace Force,Private Citizens & Property,58
Shanty Dwellers,Government (General),1
Sharivad 17 Tal-Al-Za'atar(Sept 17 Tal-Al-Za'atar),Government (Diplomatic),1
Sharp Sword Organization,Government (Diplomatic),1
Shaykh Hassan Khalid Forces,Military,1
Shaykh Subhi Al-Salih Forces,Business,1
Shaykh Subhi Al-Salih Forces,Government (Diplomatic),1
Shaykh Subhi Al-Salih Forces,Government (General),1
Shaykh Subhi Al-Salih Forces,Military,14
Shaykh Subhi Al-Salih Forces,Violent Political Party,1
Sheikh Omar Hadid Brigade,Private Citizens & Property,3
Sheikh Omar Hadid Brigade,Unknown,1
Shia Muslim extremists,Airports & Aircraft,12
Shia Muslim extremists,Government (Diplomatic),2
Shia Muslim extremists,Government (General),1
Shia Muslim extremists,Journalists & Media,1
Shia Muslim extremists,Military,7
Shia Muslim extremists,Other,1
Shia Muslim extremists,Police,2
Shia Muslim extremists,Private Citizens & Property,10
Shia Muslim extremists,Religious Figures/Institutions,4
Shia Muslim extremists,Unknown,1
Shia Muslim extremists,Violent Political Party,2
Shield of Islam Brigade,Business,2
Shining Path (SL),Airports & Aircraft,20
Shining Path (SL),Business,739
Shining Path (SL),Educational Institution,111
Shining Path (SL),Food or Water Supply,24
Shining Path (SL),Government (Diplomatic),46
Shining Path (SL),Government (General),728
Shining Path (SL),Journalists & Media,69
Shining Path (SL),Maritime,5
Shining Path (SL),Military,432
Shining Path (SL),NGO,8
Shining Path (SL),Police,613
Shining Path (SL),Private Citizens & Property,858
Shining Path (SL),Religious Figures/Institutions,31
Shining Path (SL),Telecommunication,43
Shining Path (SL),Terrorists/Non-State Militia,29
Shining Path (SL),Tourists,10
Shining Path (SL),Transportation,201
Shining Path (SL),Unknown,21
Shining Path (SL),Utilities,567
Shinwari Tribe,Private Citizens & Property,1
Shiv Sena,Government (General),1
Shiv Sena,Transportation,1
Shonkonjuku Group,Business,1
Shop owners,Private Citizens & Property,1
Shuar extremists,Business,2
Shuar extremists,Military,1
Shura Council of Ajdabiya Revolutionaries,Military,2
Shura Council of Ajdabiya Revolutionaries,Police,1
Shura Council of Benghazi Revolutionaries,Military,8
Shura Council of Benghazi Revolutionaries,Private Citizens & Property,6
Shura Council of Benghazi Revolutionaries,Terrorists/Non-State Militia,3
Shura Council of Benghazi Revolutionaries,Transportation,1
Shura Council of Benghazi Revolutionaries,Unknown,1
Shura Council of Mujahideen in Derna,Government (General),1
Shura Council of Mujahideen in Derna,Journalists & Media,1
Shura Council of Mujahideen in Derna,Military,10
Shura Council of Mujahideen in Derna,Private Citizens & Property,3
Shura Council of Mujahideen in Derna,Religious Figures/Institutions,2
Shutdown G20: Take Hamburg offline!,Transportation,10
Siah KAL,Business,1
Sicarii,Educational Institution,2
Sicarii,Government (General),1
Sicarii,Private Citizens & Property,1
Sikh Extremists,Airports & Aircraft,5
Sikh Extremists,Business,90
Sikh Extremists,Educational Institution,14
Sikh Extremists,Food or Water Supply,1
Sikh Extremists,Government (General),76
Sikh Extremists,Journalists & Media,4
Sikh Extremists,Military,17
Sikh Extremists,Police,163
Sikh Extremists,Private Citizens & Property,220
Sikh Extremists,Religious Figures/Institutions,30
Sikh Extremists,Telecommunication,1
Sikh Extremists,Terrorists/Non-State Militia,6
Sikh Extremists,Tourists,1
Sikh Extremists,Transportation,64
Sikh Extremists,Unknown,4
Sikh Extremists,Utilities,1
Sikh Extremists,Violent Political Party,19
Simon Bolivar Guerrilla Coordinating Board (CGSB),Airports & Aircraft,6
Simon Bolivar Guerrilla Coordinating Board (CGSB),Business,23
Simon Bolivar Guerrilla Coordinating Board (CGSB),Food or Water Supply,1
Simon Bolivar Guerrilla Coordinating Board (CGSB),Government (Diplomatic),3
Simon Bolivar Guerrilla Coordinating Board (CGSB),Government (General),19
Simon Bolivar Guerrilla Coordinating Board (CGSB),Journalists & Media,1
Simon Bolivar Guerrilla Coordinating Board (CGSB),Military,41
Simon Bolivar Guerrilla Coordinating Board (CGSB),Police,27
Simon Bolivar Guerrilla Coordinating Board (CGSB),Private Citizens & Property,25
Simon Bolivar Guerrilla Coordinating Board (CGSB),Religious Figures/Institutions,4
Simon Bolivar Guerrilla Coordinating Board (CGSB),Telecommunication,3
Simon Bolivar Guerrilla Coordinating Board (CGSB),Transportation,9
Simon Bolivar Guerrilla Coordinating Board (CGSB),Utilities,44
Sinai Province of the Islamic State,Airports & Aircraft,1
Sinai Province of the Islamic State,Business,17
Sinai Province of the Islamic State,Educational Institution,7
Sinai Province of the Islamic State,Food or Water Supply,1
Sinai Province of the Islamic State,Government (Diplomatic),1
Sinai Province of the Islamic State,Government (General),7
Sinai Province of the Islamic State,Military,164
Sinai Province of the Islamic State,Other,4
Sinai Province of the Islamic State,Police,150
Sinai Province of the Islamic State,Private Citizens & Property,61
Sinai Province of the Islamic State,Religious Figures/Institutions,9
Sinai Province of the Islamic State,Terrorists/Non-State Militia,3
Sinai Province of the Islamic State,Transportation,1
Sinai Province of the Islamic State,Unknown,14
Sinai Province of the Islamic State,Utilities,5
Sindh Liberation Front,Transportation,2
Sindh Revolutionary Army,Business,1
Sindhi nationalists,Food or Water Supply,2
Sindhi nationalists,Private Citizens & Property,1
Sindhu Desh Liberation Army (SDLA),Business,22
Sindhu Desh Liberation Army (SDLA),Educational Institution,1
Sindhu Desh Liberation Army (SDLA),Military,2
Sindhu Desh Liberation Army (SDLA),Private Citizens & Property,2
Sindhu Desh Liberation Army (SDLA),Religious Figures/Institutions,2
Sindhu Desh Liberation Army (SDLA),Terrorists/Non-State Militia,1
Sindhu Desh Liberation Army (SDLA),Transportation,27
Sindhudesh Revolutionary Army (SRA),Government (General),1
Sindhudesh Revolutionary Army (SRA),Military,1
Sindhudesh Revolutionary Army (SRA),Private Citizens & Property,3
Sindhudesh Revolutionary Army (SRA),Transportation,9
Sindhudesh Revolutionary Army (SRA),Utilities,8
Sinhale Jathika Balamuluwa,Private Citizens & Property,1
Sinhalese Extremists,Government (General),1
Sinhalese Insurgents,Transportation,1
Sinhalese Militants,Business,1
Sinhalese Militants,Police,1
Sinhalese Militants,Private Citizens & Property,2
Sipah-I-Mohammed,Business,1
Sipah-I-Mohammed,Journalists & Media,1
Sipah-I-Mohammed,Police,1
Sipah-I-Mohammed,Private Citizens & Property,2
Sipah-I-Mohammed,Religious Figures/Institutions,1
Sipah-e-Sahaba/Pakistan (SSP),Government (Diplomatic),2
Sipah-e-Sahaba/Pakistan (SSP),Government (General),3
Sipah-e-Sahaba/Pakistan (SSP),Journalists & Media,1
Sipah-e-Sahaba/Pakistan (SSP),Police,1
Sipah-e-Sahaba/Pakistan (SSP),Private Citizens & Property,8
Sipah-e-Sahaba/Pakistan (SSP),Religious Figures/Institutions,2
Sipah-e-Sahaba/Pakistan (SSP),Terrorists/Non-State Militia,2
Sisters in Arms,Government (General),1
Sixth of March Group,Business,1
Skinhead group,Private Citizens & Property,1
Skinheads,NGO,1
Skinheads,Private Citizens & Property,2
Slum Dwellers,Government (General),1
Smugglers and Elephant Poachers,Police,1
Social Christian Party (PSC),Government (General),1
Social Resistance,Government (Diplomatic),4
Social Resistance,Government (General),5
Socialist Chhatra League,Educational Institution,1
Socialist Labor Party of Lebanon,Government (Diplomatic),1
Socialist Patients' Collective (SPK),Business,1
Socialist Patients' Collective (SPK),Government (Diplomatic),1
Socialist Patients' Collective (SPK),Government (General),1
Socialist Recovery Movement,Government (General),1
Socialist Revolutionary Brigade,Government (General),1
Socialist-Nationalist Front (SNF),Airports & Aircraft,1
Soldiers of Truth,Educational Institution,1
Soldiers of Truth,Government (Diplomatic),2
Soldiers of Truth,NGO,2
Soldiers of Truth,Private Citizens & Property,1
Soldiers of Truth,Religious Figures/Institutions,1
Soldiers of the Algerian Opposition,Government (Diplomatic),3
Soldiers of the Caliphate,Government (General),1
Soldiers of the Caliphate,Private Citizens & Property,1
Solidarist Resistance Movement,Business,1
Solidarist Resistance Movement,Journalists & Media,1
Solidarity with imprisoned members of Action Directe (AD),Business,2
Somali Gang,Government (Diplomatic),1
Somali Guerrillas,Government (Diplomatic),1
Somali Guerrillas,Religious Figures/Institutions,1
Somali Islamic Front,Government (General),2
Somali Islamic Front,NGO,1
Somali National Alliance,Government (Diplomatic),1
Somali National Alliance,Military,1
Somali National Movement,Airports & Aircraft,1
Somali National Movement,Maritime,1
Somali National Movement,Military,1
Somali National Movement,NGO,1
Somali National Movement,Private Citizens & Property,3
Somali Patriotic Movement,Police,1
Somali Salvation Democratic Front (SSDF),Utilities,1
Somali Salvation Front (SSF),Business,3
Somali Salvation Front (SSF),Government (Diplomatic),2
Somali Salvation Front (SSF),Unknown,3
Somoza Sympathizers,Government (Diplomatic),1
Somozists,Military,1
Somozists,Police,1
Somozists,Private Citizens & Property,1
Somozists,Violent Political Party,1
Sons of Liberty,Business,2
Sons of the Gestapo,Transportation,1
Sons of the South,Religious Figures/Institutions,1
Sons of the South (Shiite Muslim Group),Airports & Aircraft,1
Soskan tribe,Private Citizens & Property,1
South African Liberation Support Cadre (SALSC),Government (General),3
South African guerrillas,Government (General),1
South East Antrim Brigade,Police,1
South East Antrim Brigade,Private Citizens & Property,1
South Group (Russia),Educational Institution,1
South Lebanon Army,Private Citizens & Property,1
South Londonderry Volunteers (SLV),Private Citizens & Property,2
South Moluccans,Business,1
South Moluccans,Educational Institution,1
South Moluccans,Government (Diplomatic),3
South Moluccans,Government (General),2
South Moluccans,Unknown,2
South Ossetian Extremists,Terrorists/Non-State Militia,1
South Ossetian Separatists,Military,1
South Ossetian Separatists,NGO,4
South Ossetian Separatists,Police,2
South Ossetian Separatists,Private Citizens & Property,3
South Sudan Armed Forces (SSAF),Military,1
South Sudan Democratic Army,Military,1
South Sudan Democratic Army,Private Citizens & Property,1
South Sudan Liberation Army (SSLA),Business,1
South Sudan Liberation Army (SSLA),Military,1
South Sudan Liberation Army (SSLA),Transportation,1
South Sudanese extremists,Government (Diplomatic),1
South-West Africa People's Organization (SWAPO),Business,13
South-West Africa People's Organization (SWAPO),Educational Institution,1
South-West Africa People's Organization (SWAPO),Government (General),14
South-West Africa People's Organization (SWAPO),Military,8
South-West Africa People's Organization (SWAPO),Police,5
South-West Africa People's Organization (SWAPO),Private Citizens & Property,14
South-West Africa People's Organization (SWAPO),Telecommunication,1
South-West Africa People's Organization (SWAPO),Transportation,4
South-West Africa People's Organization (SWAPO),Utilities,3
Southern Front,Business,2
Southern Front,Government (General),1
Southern Front,Military,14
Southern Front,Private Citizens & Property,12
Southern Mobility Movement (Yemen),Government (General),18
Southern Mobility Movement (Yemen),Military,28
Southern Mobility Movement (Yemen),Police,8
Southern Mobility Movement (Yemen),Private Citizens & Property,1
Southern Mobility Movement (Yemen),Unknown,1
Southern Mobility Movement (Yemen),Utilities,1
Southern Mobility Movement (Yemen),Violent Political Party,2
Southern Nucleus of Communist Counterpower,Government (General),1
Southern Sierra Peasant Organization,Government (General),2
Southern Yemen Separatists,Government (General),1
Southern Yemen Separatists,Military,5
Sovereign Citizen,Government (General),1
Sovereign Citizen,Police,1
Sovereign Citizen,Private Citizens & Property,1
Sovereign Citizen,Utilities,1
Sovereign Panama Patriotic Front,Government (General),1
Soviet and Cuban-backed rebels/mercenaries,Business,1
Spanish Armed Group,Business,1
Spanish Armed Group,Government (General),1
Spanish Armed Group,Private Citizens & Property,1
Spanish Armed Group,Terrorists/Non-State Militia,1
Spanish Basque Battalion (BBE) (rightist),Business,2
Spanish Basque Battalion (BBE) (rightist),Government (General),2
Spanish Basque Battalion (BBE) (rightist),Private Citizens & Property,3
Spanish Basque Battalion (BBE) (rightist),Terrorists/Non-State Militia,6
Spanish Falange,Business,1
Spanish International Communist Party,Government (General),1
Spanish National Action,Business,1
Spanish National Action,Educational Institution,1
Spanish National Action,Government (General),1
Spanish National Action,Terrorists/Non-State Militia,2
Special Purpose Islamic Regiment (SPIR),Business,1
Special Purpose Islamic Regiment (SPIR),Military,2
Squadrons of Terror (Katibat El Ahoual),Police,1
Squadrons of Terror (Katibat El Ahoual),Private Citizens & Property,1
Squatters,Airports & Aircraft,1
St. Kitts Nevis Labor Party,Government (General),1
State Council of Indian and Peasant Organization,Government (General),1
Stop the War Coalition,Educational Institution,1
Strike Enforcers,Private Citizens & Property,1
Strikers,Business,9
Strikers,Government (Diplomatic),1
Strikers,Government (General),1
Strikers,Journalists & Media,1
Strikers,Police,5
Strikers,Private Citizens & Property,10
Strikers,Transportation,15
Strikers,Unknown,1
Strikers,Utilities,5
Striking Minors Group,Police,1
Struggle Against Misery and Exploitation of Peasants,Business,2
Student Demonstrators,Government (Diplomatic),1
Student Demonstrators,Police,3
Student Front of the People,Educational Institution,1
Student Front of the People,Police,3
Student Militants,Government (General),1
Student Network of Mandalay,Business,1
Student Radicals,Business,1
Student Radicals,Educational Institution,43
Student Radicals,Government (Diplomatic),1
Student Radicals,Government (General),3
Student Radicals,Military,21
Student Radicals,Police,3
Student Radicals,Private Citizens & Property,1
Student Radicals,Utilities,1
Student Revolutionary Front (FER),Government (Diplomatic),1
Students,Airports & Aircraft,2
Students,Business,1
Students,Educational Institution,5
Students,Government (Diplomatic),1
Students,Government (General),3
Students,Police,4
Students,Private Citizens & Property,2
Students,Religious Figures/Institutions,1
Students,Transportation,1
Students  U of PNG,Government (General),1
Students For Insurrection,Private Citizens & Property,1
Students Islamic Movement of India (SIMI),Business,1
Students Islamic Movement of India (SIMI),Government (Diplomatic),1
Students Islamic Movement of India (SIMI),Government (General),1
Students Islamic Movement of India (SIMI),NGO,1
Students Islamic Movement of India (SIMI),Police,1
Students Islamic Movement of India (SIMI),Private Citizens & Property,5
Students Islamic Movement of India (SIMI),Transportation,6
Students for a Democratic Society,Educational Institution,1
Students for a Democratic Society,Government (General),1
Students for a Democratic Society (SDS) (German),Government (Diplomatic),1
Subversives,Business,4
Subversives,Government (Diplomatic),1
Subversives,Military,1
Subversives,Private Citizens & Property,1
Subversives,Transportation,4
Sudan Alliance Forces,Business,1
Sudan Alliance Forces,Military,3
Sudan Liberation Army-Minni Minawi (SLA-MM),Airports & Aircraft,1
Sudan Liberation Army-Minni Minawi (SLA-MM),Business,1
Sudan Liberation Army-Minni Minawi (SLA-MM),Government (Diplomatic),2
Sudan Liberation Army-Minni Minawi (SLA-MM),Military,3
Sudan Liberation Army-Minni Minawi (SLA-MM),Police,1
Sudan Liberation Army-Minni Minawi (SLA-MM),Private Citizens & Property,2
Sudan Liberation Movement,Airports & Aircraft,1
Sudan Liberation Movement,Government (Diplomatic),5
Sudan Liberation Movement,Government (General),2
Sudan Liberation Movement,Military,5
Sudan Liberation Movement,NGO,1
Sudan Liberation Movement,Private Citizens & Property,6
Sudan People's Liberation Army (SPLA),Airports & Aircraft,1
Sudan People's Liberation Army (SPLA),Business,2
Sudan People's Liberation Army (SPLA),Educational Institution,1
Sudan People's Liberation Army (SPLA),Government (Diplomatic),4
Sudan People's Liberation Army (SPLA),Government (General),5
Sudan People's Liberation Army (SPLA),Journalists & Media,1
Sudan People's Liberation Army (SPLA),Maritime,1
Sudan People's Liberation Army (SPLA),Military,4
Sudan People's Liberation Army (SPLA),NGO,3
Sudan People's Liberation Army (SPLA),Police,3
Sudan People's Liberation Army (SPLA),Private Citizens & Property,13
Sudan People's Liberation Army (SPLA),Religious Figures/Institutions,2
Sudan People's Liberation Army (SPLA),Terrorists/Non-State Militia,4
Sudan People's Liberation Army (SPLA),Utilities,1
Sudan People's Liberation Movement - North,Business,4
Sudan People's Liberation Movement - North,Educational Institution,3
Sudan People's Liberation Movement - North,Government (Diplomatic),2
Sudan People's Liberation Movement - North,Government (General),5
Sudan People's Liberation Movement - North,Military,21
Sudan People's Liberation Movement - North,NGO,1
Sudan People's Liberation Movement - North,Private Citizens & Property,23
Sudan People's Liberation Movement in Opposition (SPLM-IO),Business,4
Sudan People's Liberation Movement in Opposition (SPLM-IO),Educational Institution,2
Sudan People's Liberation Movement in Opposition (SPLM-IO),Government (Diplomatic),4
Sudan People's Liberation Movement in Opposition (SPLM-IO),Government (General),5
Sudan People's Liberation Movement in Opposition (SPLM-IO),Military,39
Sudan People's Liberation Movement in Opposition (SPLM-IO),NGO,5
Sudan People's Liberation Movement in Opposition (SPLM-IO),Police,3
Sudan People's Liberation Movement in Opposition (SPLM-IO),Private Citizens & Property,27
Sudan People's Liberation Movement in Opposition (SPLM-IO),Religious Figures/Institutions,2
Sudan People's Liberation Movement in Opposition (SPLM-IO),Terrorists/Non-State Militia,4
Sudan People's Liberation Movement in Opposition (SPLM-IO),Transportation,5
Sudan People's Liberation Movement in Opposition (SPLM-IO),Utilities,1
Sudan Revolutionary Front (SRF),Military,1
